Respondent ID,U.S.A. or International,U.S. East or West Coast,Lake or Sea,Question 2,Question 3,Question 3R,Question 4,Question 4R,Question 5,Question 5R,Question 5 Add,Question 5 Add2,Question 6,Question 6P,Question 6P2,Question 6P3,Question 6R,Question 7,Question 7R,Question 8S1,Question 8S2,Question 8S3,Question 8S4,Question 8S5,Question 8P1,Question 8P2,Question 8P3,Question 8R,Question 9,Question 9P1,Question 9P2,Question 9R,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 16R,Question 17S1,Question 17S2,Question 17S3,Question 17S4,Question 17S5,Question 17S6,Question 17S7,Question 17S8,Question 17R,Question 18P1,Question 18P2,Question 19,Question 20,Question 20 Response,Question 21
58,International,East,Sea,"Copenhagen, Denmark",A few hours,,No,April - October,Yes,Garmin 2-something,Garmin,,Yes,Garmin,B & G,,Garmin gps-receiver bunden with B&g sailing instruments,No,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,,,OpenCPN,,,"Na ioniserende app, opencpn with German Paper charts",Yes,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,3,,Yes,New hardware,,Accuracy of depth sounders on different boats maybe without aligned offset 
59,U.S.A.,East,Sea,"Philadelphia, PA",An entire day,,No,,Yes,,,,Yes,,,,,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,,,,,,,,2,,No,,,
60,U.S.A.,East,Sea,"New Gretna, NJ ",An entire day,,No,June through December ,Yes,Lowrance HDS-5,Lowrance,,Yes,Lowrance,,,Lowrance HDS-5,NaN,,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics,,,Navionics HD,Yes,One time,50 - 100,$79 one time fee,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,The ability to know where to more likely find the fish,3,,Yes,Updated data,,
61,U.S.A.,East,Sea,Hyannis ma,An entire day,,No,,Yes,,,,Yes,,,,,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,No,Passive data collection,Manual upload,No,No,NaN,,,Updated Data,,,,,,,,8,,No,,,
62,International,NaN,Lake,"st Catharines, Ontario",An entire day,"mostly day trips. one 3 week long trip every year., several weeked trips per year.",No,may to november,Yes,,,,Yes,,,,,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,Increased Reputation,,,,,,,Yes,New hardware,,
63,International,NaN,Sea,"sogne, Norway",A few hours,,Yes,,Yes,Raymarine Es98,Raymarine,,Yes,Raymarine,,,Raymarine Es98,No,,,,,GPS Chart Plotter,,,,,Raymarine Es98,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,,,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,No,,,
64,U.S.A.,West,Sea,"Oakland, California",Overnight trips,,No,March thru November,Yes,Raymarine i70,Raymarine,,Yes,Digital Yacht,,,Digital Yacht GPS150 DualNav Sensor,Yes,Receive only,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,OpenCPN,C-MAP,,Raymarine  RL70c  & OpenCPN &  ,No,,,,Yes,Yes,Passive data collection,Automatic upload,It would depend.,No,NaN,,,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,Detailed information about points of interest at marinas,8,,Yes,New hardware,Donation of a Raymarine MFD to our non-profit,Work with the Sea Scouts and promote the STEM learning opportunity for youth members.
65,U.S.A.,Gulf,Sea,"St. Petersburg, Fl",An entire day,,Yes,,Yes,Raymarine es128,Raymarine,,Yes,Raymarine,,,Raymarine es128,No,,,,,GPS Chart Plotter,,Navionics,,,Raymarine es128 navionics,Yes,Annually,50 - 100,$99 yr,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,,,Streamlined Navigational App,,,,,,,3,5,Yes,New hardware,,
66,U.S.A.,West,Sea,Dana Point California,An entire day,,Yes,,Yes,,,,Yes,,,,,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,Navionics,,,"Navionics,  raymarine",Yes,Annually,50 - 100,~$100,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,,Updated Data,,,,,,,,2,,Yes,New hardware,,Cell/mobile data does not work offshore.
67,U.S.A.,East,Sea,"Davis Wharf, VA",Overnight trips,,No,6 months,Yes,Raymarine 90,Raymarine,,Yes,Raymarine,,,Raymarine 90,No,,,,,GPS Chart Plotter,,,,,Raymarine 90,No,,,,Yes,Yes,Active data collection,Automatic upload,Yes,Yes,More,15 nm,Increased Knowledge,Updated Data,,,,,,,,1,,Yes,New hardware,new hardware,
68,International,NaN,Sea,Cartagena Colombia ,Overnight trips,,No,My Sons vacatios,Yes,Do not remember ,,,Yes,Raymarine,,,Mfd e95,Yes,650 duplex,Phone or Tablet Application,,,GPS Chart Plotter,,,,,,Yes,Annually,50 - 100,100 yr aprox ,Yes,Yes,Active data collection,Manual upload,Yes,Yes,5 nm,,,,,,,,,,Free year updates,,,Yes,Updated data,,No
69,International,NaN,Sea,"Sydney, Australia",Overnight trips,Liveaboard,Yes,,Yes,,,,Yes,,,,,Yes,,Phone or Tablet Application,,,GPS Chart Plotter,,,,,,Yes,,,,Yes,Yes,Passive data collection,Manual upload,It would depend.,Yes,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,2,,Yes,Updated data,,
70,International,NaN,Sea,"Cork, Ireland",NaN,,Yes,,Yes,Raymarine,Raymarine,,Yes,Raymarine,,,Raymarine ,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,,,Navionics ,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,,,Streamlined Navigational App,,,,,,,3,,No,,,
71,U.S.A.,East,Sea,Falmouth ma,An entire day,,No,May - November,Yes,Raymarine,Raymarine,,Yes,Raymarine,,,Raymarine,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,,,Raymarine and navionics,Yes,One time,0 - 25,25,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,New hardware,,
72,U.S.A.,East,Sea,"Delray Beach, FL",An entire day,,Yes,,Yes,Simrad EV02 with Depth and 3D Structure Scan,Simrad ,,Yes,Simrad,,,Simrad EV02,Yes,B,,,Paper Charts,GPS Chart Plotter,,,,,Simrad EV02,Yes,One time,200 - 300,Navionics Platinum Charts- $250,Yes,No,NaN,Manual upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,,,,,,Monetary Reward,,2,,Yes,Updated data,,
73,U.S.A.,West,Sea,"Long Beach, California",An entire day,,Yes,,Yes,Raymarine es98,Raymarine,,Yes,,,,,No,,,,,GPS Chart Plotter,,Navionics,,, Navionics ,Yes,Annually,100 - 200,$129 yr,Yes,Yes,Option to switch,Manual upload,No,No,NaN,,Increased Knowledge,Updated Data,,,,,,Monetary Reward,,8,,No,,,
74,U.S.A.,East,Sea,"Centerville, MA",A few hours,,No,May - Oct,Yes,Raymarine CP570 and Airmar M265HL (CHIRP),Raymarine,AirMar,Yes,Raymarine,,,Raymarine eS series,No,,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics,,,Navionics,Yes,Annually,50 - 100,99 per year,Yes,Yes,Active data collection,Automatic upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,,8,,Yes,New hardware,money,
75,U.S.A.,West,Sea,"Kodiak, AK",Overnight trips,,Yes,,Yes,Simrad EK60,Simrad ,,Yes,Furuno,,,Furuno,Yes,Sperry,,,Paper Charts,GPS Chart Plotter,,TRANSAS ECDIS,,,TRANSAS ECDIS,No,,,"~7,000-10,000 a year",Yes,Yes,Option to switch,Automatic upload,No,No,NaN,,Increased Knowledge,Updated Data,,,,,,,,1,,No,,,This should also be focused on common commercial fishing areas with poor to non existent sea-floor data
76,U.S.A.,East,Sea,"Norwalk, CT",A few hours,,No,May - Oct.,Yes,,,,Yes,Standard Horizon,,,Standard Horizon,No,,,,Paper Charts,GPS Chart Plotter,,C-MAP,,,Standard Horizon w/ CMap,Yes,Annually,50 - 100,CMap $68. per year for chip,Does not own smart device,No,Option to switch,Mail in thumb drive,It would depend.,Yes,2 nm,"depends on ""mission of the day"" (the reason for being out on the water on any given day.",Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,1,2,Yes,New hardware,,Availability and usability of new data
77,U.S.A.,East,Sea,"Gloucester, MA",A few hours,,No,,No,,,,No,,,,,No,,,,,,None of the Above,,,,,No,,,,No,Yes,Option to switch,Automatic upload,Yes,Yes,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,Certificate of Recognition,Gamification,Monetary Reward,,4,,Yes,New hardware,,
78,U.S.A.,East,Sea,"Woods Hole, MA",A few hours,,No,May - October,Yes,Norcross Marine D10D Hawkeye Digital Depth Sounder,Norcross,,No,,,,I use my Samsung Galaxy S7,No,,Phone or Tablet Application,,,,,Navionics,,,Navionics,Yes,One time,0 - 25,One time $9.99,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,,,,,,,I would appreciate if crowd sourced data made its way into navionics updates,2,,Yes,New hardware,,
79,U.S.A.,East,Sea,"Forked River, New Jersey",An entire day,,No,May - September,Yes,Garmin,Garmin,,Yes,Garmin,,,Garmin,No,,Phone or Tablet Application,,Paper Charts,,,Google Maps,,,Google Maps,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,,,,,Gamification,Monetary Reward,,7,,Yes,New hardware,,
80,U.S.A.,East,Sea,"Annapolis, Maryland",A few hours,,Yes,,No,,,,Yes,,,,,No,,Phone or Tablet Application,,Paper Charts,,,,,,,Yes,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,1,,Yes,New hardware,,
81,U.S.A.,West,Sea,"marina del rey, ca",A few hours,,Yes,,Yes,raymarine,Raymarine,,Yes,Garmin,,,garmin,No,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,5 nm,,Increased Knowledge,Updated Data,,Social Network,,,,,,1,,Yes,Updated data,,
82,U.S.A.,West,Sea,"Honolulu, Hawaii",Overnight trips,Currently cruising the Caribbean,Yes,,Yes,Depth sounder,,,Yes,Garmin,,,Garmin,Yes,B,Phone or Tablet Application,,,GPS Chart Plotter,,Garmin BlueChart,,,"Garmin blue charts, active captain, garmin chart plotter (2)",No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,More,Cruising bait can go wherever ,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,New hardware,,
83,U.S.A.,West,Sea,"Stockton, California ",Overnight trips,We are cruising long term. We left California over two years ago and ate presently on the East Coast of the US.,Yes,,Yes,Raymarine Tridata ,Raymarine,,Yes,Raymarine,,,Raymarine chartplotter,No,,Phone or Tablet Application,,,GPS Chart Plotter,,MX Mariner,,,Raymarine and MX Mariner.,No,,,,Yes,Yes,Active data collection,Manual upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,No,,,No.
84,International,NaN,Lake,"Geneva, Switzerland",A few hours,,Yes,,No,,,,Yes,,,,,No,,Phone or Tablet Application,,,,,,,,,No,,,,Yes,Yes,Active data collection,Automatic upload,Yes,Yes,2 nm,,,Updated Data,Streamlined Navigational App,Social Network,,Certificate of Recognition,,,Would like to test your application on our lake as the lakefloor hydrograph is about 100 yeasr olld...,1,,Yes,New hardware,,"Not at all, for the safety of our sailors, a croud scan of my lake would be really a technological breakthrough as the current data is proprietary and restricted. No detailed maps exist, current is based on fisherman's anecdotes and groundings... please contact me if interested: yorick.klipfel@sunrise.ch or www.acvl.ch"
85,U.S.A.,East,Sea,"Charleston, SC",A few hours,,Yes,,Yes,,,,Yes,,,,,No,,,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,,1,,Yes,New hardware,,
86,U.S.A.,West,Sea,San Diego,A few hours,,Yes,,No,,,,Yes,,,,,Yes,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,No,NaN,,Increased Knowledge,Updated Data,,,,,,,,1,,Yes,Updated data,,
87,International,NaN,Sea,"Bridgetown, Barbados",Overnight trips,,Yes,,Yes,,,,Yes,,,,,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Passive data collection,Automatic upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,,Social Network,,,,,,4,,No,,,
88,International,West,Sea,Sidney BC Canada,Overnight trips,Weeks or months at a time,No,April thru October,Yes,Furuno,Furuno,,Yes,Furuno,Airmar,,"multiple - furuno, airmar",Yes,B Transciever,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,Navionics,Nobeltec,,"Nobeltec, Navionics",No,,,,Yes,Yes,Passive data collection,Mail in thumb drive,It would depend.,Yes,NaN,It would depend on the circumstances - we tend to be in remote areas already,Increased Knowledge,Updated Data,Streamlined Navigational App,,Increased Reputation,,,,,3,,Yes,New hardware,,Not real concerns
89,U.S.A.,East,Sea,Newport ri,All of the above,All of above,No,May October ,Yes,B&g,B & G,,Yes,B & G,,,B&g,Yes,B&g,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,Navionics,C-MAP,,Navionics c- map B&g ,Yes,Annually,50 - 100,100/yr,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,,Updated Data,,,,,,,,,,No,,,Why is this necessary?  Navionics has been doing this for several years. The information is very accurate and updated weekly. All at a minimal cost 
90,U.S.A.,West,Sea,"Alameda, California",An entire day,,Yes,,Yes,B&G,B & G,,Yes,B & G,,,B&G,No,,,,,,None of the Above,,,,,No,,,,Yes,Yes,Passive data collection,Automatic upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,Updated data,,
91,U.S.A.,East,Sea,port washington ny,A few hours,,No,,No,,,,No,,,,,No,,,,Paper Charts,,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,3,,Yes,New hardware,,
92,U.S.A.,East,Sea,"Fort Lauderdale, Florida",Overnight trips,,Yes,,Yes,,,,Yes,,,,,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,It would depend.,No,NaN,,,,,,,Certificate of Recognition,,,,6,,Yes,Updated data,,
93,U.S.A.,East,Sea,"Annapolis, MD",A few hours,,No,April through November,Yes,Raymarine wireless,Raymarine,,Yes,Garmin,,,Garmin 76 handheld,No,,Phone or Tablet Application,,Paper Charts,,,Navionics,,,Navionics App,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,No,,,
94,U.S.A.,Gulf,Sea,"Crystal River, Florida",Overnight trips,Transatlantic crossings and east coastal cruising,Yes,,Yes,Furuno (Airmar Tri),Furuno,,Yes,Furuno,,,Furuno,Yes,B,,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN,,,"Furuno NavNet VX2, OpenCPN",No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,Rerouting as required based on weather windows,,Updated Data,Streamlined Navigational App,Social Network,,,,,Updated current electronic charts,2,,Yes,New hardware,,Involuntary tracking of the vessels location
95,U.S.A.,East,Sea,Newport RI,A few hours,,No,May-October,No,,,,Yes,Garmin,,,Garmin,No,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,Navionics,Garmin BlueChart,,"Avionics on I Pad, Garmin",No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,No,,,No
96,U.S.A.,East,Sea,"Jamestown, RI",All of the above,All of the above,Yes,,Yes,B&B,B & G,,Yes,B & G,,,B&B,Yes,Send and Receive A,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,Navionics,Coastal Explorer,C-MAP,B&B/Navionics/CMap/Explorer/Imray,No,,,,Yes,No,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,Free sonar,,,Yes,Updated data,I already use crowd sourced Navionics - would contribute to that,Privacy
97,U.S.A.,East,Sea,"Osterville, MA",An entire day,,No,April to October,Yes,Simrad,Simrad ,,Yes,Simrad,,,Simrad,Yes,Not sure,Phone or Tablet Application,,,GPS Chart Plotter,,,,,,Yes,Annually,0 - 25,25/yr,Yes,Yes,Passive data collection,Automatic upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,1,,Yes,Updated data,,
98,U.S.A.,West,Sea,"Astoria, Oregon",Overnight trips,Months,No,Six months,Yes,Furuno,Furuno,,Yes,Furuno,,,Furuno,Yes,Comar,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,,,,,Yes,,,,Yes,Yes,Passive data collection,Manual upload,No,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,,,No,,,Spend Six months of year in Mexican waters.
99,U.S.A.,East,Sea,"Fort Lauderdale, FL",Overnight trips,,Yes,,Yes,,,,Yes,,,,,No,,,,,GPS Chart Plotter,,,,,,Yes,Annually,50 - 100,$90 / year for annually updated chart chip,Yes,Yes,Option to switch,Automatic upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,New hardware,,
100,NaN,NaN,NaN,NaN,Overnight trips,varies from half days to multi- day passaged,Yes,,Yes,Garmin transducer linked to chart plotter,Garmin,,Yes,Garmin,,,Garmin 7212 for primary,Yes,Class B send and receive,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Garmin 7212 as primary,No,,,,Yes,Yes,Passive data collection,Manual upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,1,,Yes,Updated data,,"Sometimes question the accuracy of crowd sourced data . For example, Active Captain is not always accurate.  Would want multiple verifications to insure accuracy."
101,U.S.A.,East,Sea,St. Augustine Florida,Overnight trips,,Yes,,Yes,Depth sounder is Brooks and Gatehouse Hornet. No fishfinder,B & G,,Yes,Furuno,,,Furuno GP-32,Yes,Receive only.,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN,Navionics,,"Open CPN on the laptop, Navionics on the iPad",Yes,One time,50 - 100,Navionics is around $50.00 depending on the area.,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,"Depends on the situation, depth of water, etc. Could be an adventure.",Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,New hardware,,
102,International,NaN,Sea,"Savusavu, Fiji",All of the above,"all of the above, slowly exploring the Pacific",No,In the US half the year,Yes,Raymarine ST60,Raymarine,,Yes,Garmin,,,"Garmin, Standard Marine, Apple",Yes,Class B reciever only,Phone or Tablet Application,,,,,Navionics,,,Navionics on an iPad,Yes,One time,50 - 100,$50 per very large chart area,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,,,,,,,,,1,,No,,,"About the best you're going to get aboard most recreational cruising sailboats, in terms of installed equipment for reading the seafloor, is a depthsounder."
103,U.S.A.,West,Sea,"Seattle, WA",Overnight trips,,Yes,,Yes,Garmin EchoMap 50s,Garmin,,Yes,Garmin,,,Garmin EchoMap 50s,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,2 nm,,Increased Knowledge,,,,,,,,,1,,Yes,Updated data,,
104,U.S.A.,Gulf,Sea,Seabrook,An entire day,,No,,Yes,Garmin,Garmin,,Yes,,,,,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Active data collection,Automatic upload,It would depend.,Yes,2 nm,,,,Streamlined Navigational App,,,,,,,,,Yes,Updated data,,
105,U.S.A.,NaN,Lake,"Burlington, VT",An entire day,,Yes,(Ice-free boating only),Yes,Furuno FE 585,Furuno,,Yes,,,,iPad,No,,Phone or Tablet Application,Navigational Software on Laptop,,,,Navionics,Nobeltec,,Nobeltec (laptop) Navionics (iPad),No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,,Updated Data,,,,,,,,2,,Yes,New hardware,,
106,U.S.A.,NaN,Lake,Charlotte VT,All of the above,ranges from a few hours to overnite,No,May - November,Yes,Furuno NavNet system,Furuno,,Yes,Furuno,,,Furuno Navnet,Yes,Class B,,Navigational Software on Laptop,,,,Nobeltec,,,Nobeltec Trident on networked computers,No,,,,Yes,Yes,Passive data collection,Automatic upload,It would depend.,Yes,NaN,not sure so non-commital on this question,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,,,,,2,,No,,,
107,U.S.A.,East,Sea,"Kittery, Maine",A few hours,,Yes,,No,,,,No,,,,,No,,Phone or Tablet Application,,Paper Charts,,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,3,,Yes,New hardware,,
108,U.S.A.,West,Sea,"Kenmore, WA",NaN,Currently no boat. Used to have one.,No,July-October,Yes,,,,Yes,,,,Cell phone,No,,Phone or Tablet Application,,Paper Charts,,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,,,,,,,,,,No,,,"The Cooperative Charting Program operated by NOAA in partnership with the U.S. Power Squadron, and the U.S. Coast Guard Auxiliary is already in place. Rather   than start yet another program with all its associated problems of organization and maintenance, I recommend you tap into these programs and use their existing proven networks to accomplish your goal. And don't forget the NOAA requirement to validate/qualify third-party data before use in nautical charting. Not a trivial consideration. Best to talk to these folks early on to benefit from their years of experience doing what you are describing.  Rather than re-invent the wheel improve it. Best of luck with your project!    Dennis Hill  NOAA Cartographer (retired)"
109,U.S.A.,East,Sea,"Dover, NH",A few hours,,No,Summer months,No,,,,Yes,,,,,No,,Phone or Tablet Application,,,,,,,,Hand held GPS,No,,,,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,1 nm,,,,,,Increased Reputation,,Gamification,Monetary Reward,,,,No,,,
110,U.S.A.,West,Sea,"Deer Harbor, WA",An entire day,,No,,Yes,,,,Yes,,,,,No,,,Navigational Software on Laptop,,,,,,,,No,,,,Yes,Yes,Passive data collection,Automatic upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,,,No,,,
111,U.S.A.,West,Sea,"Bellingham, WA",A few hours,,No,May to October,No,,,,No,,,,,No,,,,,,None of the Above,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,Gamification,Monetary Reward,,2,,Yes,New hardware,,Would want to make sure that there was some outside verification that data was more accurate than not.
112,U.S.A.,East,Sea,"Greenport, NY",A few hours,,No,,No,,,,No,,,,,No,,,,,,None of the Above,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,Monetary Reward,,3,,Yes,Updated data,,
113,U.S.A.,East,Sea,Woods hole,A few hours,,No,5-11,No,,,,NaN,,,,,NaN,,Phone or Tablet Application,,,,,Navionics,,,Navionics,No,,,,Yes,Yes,Passive data collection,Manual upload,It would depend.,No,NaN,,Increased Knowledge,,Streamlined Navigational App,Social Network,,,,,,3,,Yes,Updated data,,
114,U.S.A.,East,Sea,"Woods Hole, MA",A few hours,,Yes,,No,,,,No,,,,,No,,Phone or Tablet Application,,,,,Navionics,,,Navionics App,No,,,,Yes,No,Passive data collection,Automatic upload,It would depend.,No,NaN,,,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,,2,,Yes,New hardware,,
115,U.S.A.,East,Sea,"Woods Hole, MA",A few hours,,No,Spring summer fall,No,,,,Yes,,,,Navionics ,No,,Phone or Tablet Application,,Paper Charts,,,Navionics,,,Navionics,Yes,Annually,0 - 25,15$ total,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,Certificate of Recognition,Gamification,Monetary Reward,This is great!,7,,Yes,New hardware,,Ability to turn app off for breaking the law is necessary. 
116,U.S.A.,East,Sea,"woods hole, ma",A few hours,,No,,Yes,a very cheap and obsolete hummingbird,Hummingbird,,Yes,Hummingbird,,,a very cheap hummingbird unit,No,,Phone or Tablet Application,,Paper Charts,,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,,,,,,,,2,,Yes,New hardware,,"Will the data be used to assemble nautical charts? Since charts are legal documents, and the data and data collection procedures that are used to compile charts may be examined in court (e.g. in events such as vessel groundings), would the participants be held legally responsible for the data they collect? "
117,U.S.A.,East,Sea,"Falmouth, MA",An entire day,,No,May-september,Yes,,,,Yes,,,,,No,,,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,,Social Network,Increased Reputation,,,Monetary Reward,,,,Yes,Updated data,,
118,NaN,NaN,NaN,NaN,A few hours,,No,May to September,Yes,Lowrance Mark - 4,Lowrance,,No,,,,,No,,,,,,None of the Above,,,,,No,,,,Yes,Yes,NaN,Manual upload,It would depend.,Yes,1 nm,,,,Streamlined Navigational App,,,,,,,6,,Yes,New hardware,,
119,U.S.A.,West,Sea,"Seattle, Washington",Overnight trips,,No,Summer,Yes,,,,Yes,,,,,No,,,,Paper Charts,,,,,,,No,,,,Yes,Yes,Active data collection,Manual upload,Yes,Yes,1 nm,,Increased Knowledge,Updated Data,,,,,,,,2,,Yes,New hardware,,
120,NaN,NaN,NaN,NaN,A few hours,,No,May-oct,No,,,,No,,,,,No,,Phone or Tablet Application,,Paper Charts,,,,,,,No,,,,Yes,Yes,Active data collection,Manual upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,Gamification,Monetary Reward,,,,No,,,
121,U.S.A.,East,Sea,"Durham, NH",A few hours,,No,May-October ,No,,,,No,,,,,No,,,,Paper Charts,,,,,,,No,,,,Yes,Yes,Active data collection,Manual upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,,1,,Yes,Updated data,,
122,U.S.A.,East,Sea,"Philadelphia, PA",A few hours,,Yes,,No,,,,Yes,,,,,No,,,,,,None of the Above,,,,,No,,,,No,Yes,Active data collection,Manual upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,,Social Network,,,,Monetary Reward,Access to the collected data.,,,No,,,
