Respondent ID,Collector ID,Start Date,End Date,IP Address,Do you give your consent to participate inÂ the following study?,"Where is your local port (City, State)?","When you go out on your boat, about how long do you typically go out for?",,Do you use your boat year round?,,Do you have depth sounding equipment or a fish finder?,,Do you have a GPS on your vessel?,,Do you have an AIS unit?,,What do you use for navigation?Â (select all that apply),,,,,,Do you pay for your navigation service?,,"If you have a smartphone or tablet, do you always have it on the boat with you?",Would you be willing to share location information from your phone/tablet or other navigation system?,What would you prefer?,What method of data delivery would you be most likely to use?,Would you be willing to slightly detourÂ toÂ collect data if a site of interest showed up along your route?,"Would you beÂ willing toÂ go to locations where data is needed, even if they were out of your way?",What is the maximum distanceÂ you would be willing to travel out of the way to collect data?,,What sort of incentives would motivate you to collect this crowd-sourced data? (select all that apply),,,,,,,,,"Of these listed, which incentive would most interest you? (Insert Number)","Would you be willing to pay a small fee, if in exchange youÂ received new hardware, local seafloor data, or the incentive of your choice?","Of these, for which wouldÂ you most likely pay a small fee?",,"Do you have any concerns about participating in this crowd data collection? If so, please provide a description of your concerns so that we can address them."
6264169657,153009003,06/27/2017 08:37:12 AM,06/27/2017 08:43:50 AM,68.132.118.189,Yes,Sayville New York,An entire day,,No,May-Nov,Yes,Navionics ,Yes,Garmin,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,Yes,Yes,More,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,(8) Small monetary rewards for certain tasks,,2,Yes,New hardware,,
6259311189,153009003,06/23/2017 09:28:21 AM,06/23/2017 09:36:29 AM,107.77.204.64,Yes,"Virginia Beach, VA",An entire day,,No,April to October,Yes,DataMarine ,Yes,Garmin 546,Yes,Receive only,Phone or Tablet Application,,,GPS Chart Plotter,,"Garmin homeport, MX mariner and Marine Navigator",Yes,$10,Yes,Yes,For the data collection to occur in the backgroud,Automatic upload from smartphone or other unit,No,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,Increase the knowledge of our local port,3,Yes,New hardware,,Data must not be sold for profit like Active Captain just did
6237602241,153009003,06/09/2017 08:23:14 AM,06/09/2017 08:29:49 AM,71.80.41.63,Yes,Alburgh Vermont,An entire day,,No,March to November,Yes,Lorance hds5,Yes,Lorance hds5,,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics plus,Yes,20,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,#2,Yes,Updated data for your local area,,
6234840103,153009003,06/07/2017 05:53:18 PM,06/07/2017 05:59:17 PM,73.246.2.255,Yes,Chicago Il.,A few hours,,No,May to Oct.,Yes,Navman,Yes,Garmin ,No,,,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive",,,,,"1,3",Yes,New hardware,,
6232386075,153009003,06/06/2017 02:31:04 PM,06/06/2017 02:46:28 PM,104.53.242.213,Yes,"Yuba City, CA",A few hours,,Yes,,Yes,Lowrance HDS-7 Gen 3 83/200 & LSS-2 455/800,Yes,Lowrance HDS-7 Gen 3 w/ Point-1 Antenna,Yes,Receive-Only,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics Boating / Navionics+ (both US & Canada),Yes,$150/year,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,Yes,No,,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,(8) Small monetary rewards for certain tasks,Discount on future Navionics fees/purchases.,8 / Other,Yes,New hardware,,Data likely not accurate unless everyone has GPS antennas directly over their transducers.
6232135116,153009003,06/06/2017 12:29:09 PM,06/06/2017 12:35:58 PM,65.19.74.176,Yes,"Rockland, Maine",Overnight trips,,No,May through September,Yes,Raymarine St-40,Yes,Garmin echomap 74 dv chirp,Yes,reciever only in Standard VHF,,,,GPS Chart Plotter,,Garmin echomap 74 dv,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,Yes,New hardware,,
6227599331,153009003,06/03/2017 06:13:31 PM,06/03/2017 06:20:18 PM,74.78.154.47,Yes,"South Portland, Maine",A few hours,,No,May to october,No,,Yes,,No,,,,Paper Charts,GPS Chart Plotter,,Harmon handheld 276 ,No,,I don't have a smartphone/tablet,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,Yes,New hardware,,
6226425682,153009003,06/02/2017 03:02:58 PM,06/02/2017 03:06:42 PM,74.89.135.133,Yes,"Mount Sinai, NY",An entire day,,No,June-October,Yes,Garmin ,Yes,Garmin,Yes,Recreational?,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,"Garmin, various iPad apps",No,,No,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,Yes,Updated data for your local area,,
6226200972,153009003,06/02/2017 12:56:06 PM,06/02/2017 01:07:54 PM,174.192.8.107,Yes,"Durham, NH",Other (please specify),Both a few hours and longer day tripsMay,No,May to late October ,Yes,Garmin 4210,Yes,Garmin 4210,No,,,,,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,More,"If time permitted, I would go beyond 5 nm",,,,,,,,,All the above other than monetary rewards,1,Yes,New hardware,,Nope
6225071547,153009003,06/01/2017 09:48:57 PM,06/01/2017 10:01:13 PM,64.223.168.56,Yes,"Rockport, Maine",Overnight trips,,No,May through October,Yes,Data marine,Yes,Faruno,No,,Phone or Tablet Application,,Paper Charts,,,iNavx,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2,Yes,Updated data for your local area,,
6225028764,153009003,06/01/2017 09:07:40 PM,06/01/2017 09:12:32 PM,72.81.132.99,Yes,"Annapolis, MD",Overnight trips,,No,April-November,Yes,TackTick (Raymarine),Yes,,Yes,B,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,"Garmin 7000, Garmin Mapsource, OpenCPN",No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,Yes,Yes,More,25nm,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,"(7) A game-like environmentÂ for data-collection, such as collecting ""virtual loot"" or discovering virtualÂ lands.",,,2,Yes,Updated data for your local area,,
6224701125,153009003,06/01/2017 04:45:32 PM,06/01/2017 04:53:38 PM,71.204.237.160,Yes,"Brunswick, GA",Other (please specify),several days offshore,Yes,,Yes,AirMar/Garmin,Yes,Garmin,Yes,Vesper 8000 Class B,,,Paper Charts,GPS Chart Plotter,,Garmin 7610,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,4,Yes,New hardware,,
6224498412,153009003,06/01/2017 02:57:08 PM,06/01/2017 03:00:58 PM,24.235.67.66,Yes,"Portland, Maine",A few hours,,No,,Yes,Raymarine ST60,Yes,Raymarine c80,No,,,,Paper Charts,GPS Chart Plotter,,,No,,No,Yes,For the data collection to occur in the backgroud,Manual upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,,,,,,,,,,No,,,
6224428391,153009003,06/01/2017 02:18:30 PM,06/01/2017 02:32:19 PM,66.27.41.252,Yes,Hilo Hawaii,Other (please specify),"Weeks to months, we are cruisers",No,outside hurricane season,Yes,Garmin 300C,Yes,B&G Zeus 2 MFD with built-in GPS,Yes,Class B,,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN and B&G Zeus 2,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,More,Depends on whether I can enjoy the destination,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2,Yes,New hardware,,"I have no hardware that can record depth data, and the cost to obtain hardware that can do this is high. Low end fishfinders are cheap, so an incentive to upgrade would mean I am more willing to participate. Also, please collect data from more than just US waters, as everyone worldwide can benefit from improved data."
6223965987,153009003,06/01/2017 10:32:42 AM,06/01/2017 10:35:50 AM,96.234.172.90,Yes,"Rock Hall, MD",Other (please specify),Both short sails and overnights,No,May - November,Yes,Datamarine depthsounder,Yes,Garmin,No,,,,,GPS Chart Plotter,,Garmin 77x,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,(4) A social network of mariners working together for science and safety of navigation,,,,,,Number 2,Yes,Updated data for your local area,,
6223935219,153009003,06/01/2017 10:17:54 AM,06/01/2017 10:26:46 AM,174.21.222.152,Yes,"Olympia, WA",A few hours,,No,April-November,Yes,Navman,Yes,Navman,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,"iPad: iNavX, plotter: Navman 6200",No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,No,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,The chance to contribute to an open hydro dataset,3,No,,,
6223863343,153009003,06/01/2017 09:43:39 AM,06/01/2017 09:51:03 AM,67.253.76.2,Yes,"Portland, Maine",Overnight trips,,No,June to September ,Yes,Garmin 740s,Yes,Garmin 740s,No,,,,,GPS Chart Plotter,,,No,,Yes,No,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,1,,New hardware,,
6223846225,153009003,06/01/2017 09:36:18 AM,06/01/2017 09:44:25 AM,67.253.12.202,Yes,"Rockland, Maine",Other (please specify),We cruise aboard full time for half of each year.,Yes,,Yes,"Depth sounder, unsure what make as boat is not here.",Yes,siTex SAS-300,Yes,B - full transponder,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Apps:MX Mariner and Navionics. Plotter:SiTex SAS-300 (C-Map charts),Yes,$179/year for software,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,,"(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,Improved nav data,Yes,New hardware,,"If you research Navionics charting and the Active Captain community, you'll find that what you're proposing is actually already being done. Navionics now collects depth information directly from vessels running the appropriate hardware, and Active Captain is a world-wide crowd-source community of boaters who make hundreds of observations each day in the Active Captain (now owned by Garmin) database."
6223826368,153009003,06/01/2017 09:26:52 AM,06/01/2017 09:35:59 AM,72.64.12.210,Yes,"Georgetown, Maine ",An entire day,,Yes,,Yes,Garmin,Yes,Garmin hand held (kayak) 9500 sailboat ,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Garmin ,No,,No,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,,Depends on conditions and whether I am sailing or kayaking ,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2,Yes,New hardware,,
6221054086,153009003,05/30/2017 09:33:07 PM,05/30/2017 09:37:34 PM,73.162.127.239,Yes,Sugar Barge Bethel Island California,An entire day,,Yes,,Yes,LOWRANCE HDS 7,Yes,LOWRANCE,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,Navionics Hotmaps Platinum,Yes,9.95 annualf or phone app and $199. for the card,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive","(6) The chance to become ""Citizen Hydrographer of the Month"" complete with a letter of recognition","(7) A game-like environmentÂ for data-collection, such as collecting ""virtual loot"" or discovering virtualÂ lands.",(8) Small monetary rewards for certain tasks,corporate donation to the 'Wear it' campaign and special needs communities,recognition,Yes,New hardware,,
6217647725,153009003,05/27/2017 11:20:44 PM,05/27/2017 11:30:56 PM,162.231.236.157,Yes,"Miami Beach, Florida",Other (please specify),varies between 2-8 hours,Yes,,Yes,vexilar sp 200,Yes,navionics boating hd,No,,Phone or Tablet Application,,,,,ipad 3 with navionics boating hd and vexilar sp 200,Yes,"$ 55 first year, $ 25 after",Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,More,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,2,Yes,Updated data for your local area,,
6205173676,153009003,05/18/2017 09:49:35 PM,05/18/2017 09:54:39 PM,24.91.211.7,Yes,Falmouth ma,An entire day,,No,May- October ,Yes,Raymarine Dragonfly,Yes,Raymarine Dragonfly,No,,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics,Yes,$5 app purchase,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,1Â nm,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,(4) A social network of mariners working together for science and safety of navigation,,,"(7) A game-like environmentÂ for data-collection, such as collecting ""virtual loot"" or discovering virtualÂ lands.",(8) Small monetary rewards for certain tasks,,Monetary ,Yes,New hardware,,
6204721094,153009003,05/18/2017 04:09:11 PM,05/18/2017 04:21:23 PM,188.177.13.142,Yes,"Copenhagen, Denmark",A few hours,,No,April - October,Yes,Garmin 2-something,Yes,Garmin gps-receiver bunden with B&g sailing instruments,No,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,,,"Na ioniserende app, opencpn with German Paper charts",Yes,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,3,Yes,New hardware,,Accuracy of depth sounders on different boats maybe without aligned offset 
6201248617,153009003,05/17/2017 01:05:13 AM,05/17/2017 01:09:49 AM,68.80.140.225,Yes,"Philadelphia, PA",An entire day,,No,,Yes,,Yes,,No,,,,,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,2,No,,,
6199994648,153009003,05/16/2017 11:21:30 AM,05/16/2017 11:40:26 AM,71.225.50.117,Yes,"New Gretna, NJ ",An entire day,,No,June through December ,Yes,Lowrance HDS-5,Yes,Lowrance HDS-5,,,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics HD,Yes,$79 one time fee,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,The ability to know where to more likely find the fish,3,Yes,Updated data for your local area,,
6199553781,153009003,05/16/2017 07:40:12 AM,05/16/2017 07:43:09 AM,73.159.86.193,Yes,Hyannis ma,An entire day,,No,,Yes,,Yes,,No,,,,,GPS Chart Plotter,,,No,,Yes,No,For the data collection to occur in the backgroud,Manual upload from smartphone or other unit,No,No,,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,8,No,,,
6199468840,153009003,05/16/2017 06:24:26 AM,05/16/2017 06:31:43 AM,173.238.0.229,Yes,"st Catharines, Ontario",Other (please specify),"mostly day trips. one 3 week long trip every year., several weeked trips per year.",No,may to november,Yes,,Yes,,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive",,,,,,Yes,New hardware,,
6199378145,153009003,05/16/2017 04:53:03 AM,05/16/2017 04:59:52 AM,2.150.79.12,Yes,"sogne, Norway",A few hours,,Yes,,Yes,Raymarine Es98,Yes,Raymarine Es98,No,,,,,GPS Chart Plotter,,Raymarine Es98,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,More,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,No,,,
6199155355,153009003,05/16/2017 12:12:09 AM,05/16/2017 12:23:22 AM,209.92.109.66,Yes,"Oakland, California",Overnight trips,,No,March thru November,Yes,Raymarine i70,Yes,Digital Yacht GPS150 DualNav Sensor,Yes,Receive only,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Raymarine  RL70c  & OpenCPN &  ,No,,Yes,Yes,For the data collection to occur in the backgroud,Automatic upload from smartphone or other unit,It would depend on the situation.,No,,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,(8) Small monetary rewards for certain tasks,Detailed information about points of interest at marinas,8,Yes,New hardware,Donation of a Raymarine MFD to our non-profit,Work with the Sea Scouts and promote the STEM learning opportunity for youth members.
6198911804,153009003,05/15/2017 07:45:21 PM,05/15/2017 07:51:27 PM,72.185.77.132,Yes,"St. Petersburg, Fl",An entire day,,Yes,,Yes,Raymarine es128,Yes,Raymarine es128,No,,,,,GPS Chart Plotter,,Raymarine es128 navionics,Yes,$99 yr,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,,,"(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,3 5,Yes,New hardware,,
6198884894,153009003,05/15/2017 07:20:51 PM,05/15/2017 07:29:05 PM,68.101.116.77,Yes,Dana Point California,An entire day,,Yes,,Yes,,Yes,,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,"Navionics,  raymarine",Yes,~$100,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,2,Yes,New hardware,,Cell/mobile data does not work offshore.
6198882618,153009003,05/15/2017 07:19:28 PM,05/15/2017 07:27:10 PM,71.251.178.237,Yes,"Davis Wharf, VA",Overnight trips,,No,6 months,Yes,Raymarine 90,Yes,Raymarine 90,No,,,,,GPS Chart Plotter,,Raymarine 90,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,Yes,Yes,More,15 nm,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,increase knowledge of ports,Yes,,new hardware,
6198881978,153009003,05/15/2017 07:18:53 PM,05/15/2017 07:28:10 PM,190.156.107.71,Yes,Cartagena Colombia ,Overnight trips,,No,My Sons vacatios,Yes,Do not remember ,Yes,Mfd e95,Yes,650 duplex,Phone or Tablet Application,,,GPS Chart Plotter,,,Yes,100 yr aprox ,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,,,,,,,,,Free year updates,,Yes,Updated data for your local area,,No
6198819638,153009003,05/15/2017 06:27:00 PM,05/15/2017 06:33:23 PM,1.128.96.148,Yes,"Sydney, Australia",Other (please specify),Liveaboard,Yes,,Yes,,Yes,,Yes,,Phone or Tablet Application,,,GPS Chart Plotter,,,Yes,,Yes,Yes,For the data collection to occur in the backgroud,Manual upload from smartphone or other unit,It would depend on the situation.,Yes,1Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,2,Yes,Updated data for your local area,,
6198747796,153009003,05/15/2017 05:35:32 PM,05/15/2017 05:40:48 PM,51.171.33.198,Yes,"Cork, Ireland",,,Yes,,Yes,Raymarine,Yes,Raymarine ,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics ,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,,,"(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,3,No,,,
6198746779,153009003,05/15/2017 05:34:45 PM,05/15/2017 05:42:04 PM,24.91.208.252,Yes,Falmouth ma,An entire day,,No,May - November,Yes,Raymarine,Yes,Raymarine,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Raymarine and navionics,Yes,25,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,Yes,New hardware,,
6198746432,153009003,05/15/2017 05:34:48 PM,05/15/2017 05:40:34 PM,108.216.97.141,Yes,"Delray Beach, FL",An entire day,,Yes,,Yes,Simrad EV02 with Depth and 3D Structure Scan,Yes,Simrad EV02,Yes,B,,,Paper Charts,GPS Chart Plotter,,Simrad EV02,Yes,Navionics Platinum Charts- $250,Yes,No,,Manual upload from smartphone or other unit,It would depend on the situation.,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,(8) Small monetary rewards for certain tasks,,2,Yes,Updated data for your local area,,
6198739413,153009003,05/15/2017 05:28:52 PM,05/15/2017 05:33:36 PM,96.41.76.118,Yes,"Long Beach, California",An entire day,,Yes,,Yes,Raymarine es98,Yes,,No,,,,,GPS Chart Plotter,, Navionics ,Yes,$129 yr,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,No,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,(8) Small monetary rewards for certain tasks,,8,No,,,
